aita,cs,attention,gender_studies
0.14790912,0.07360135,0.0800726,0.10018167
0.14455336,0.10724468,-0.09403037,0.030033678
0.12324135,-0.020231856,-0.0989159,0.03518344
0.21693091,0.1624761,-0.067165114,0.0983585
-0.056396183,0.0014386551,0.081320606,-0.057146113
0.14064397,-0.08480027,-0.14769386,0.003034793
-0.07909308,-0.10785497,-0.14242549,-0.18432401
0.22079104,0.109956875,0.17279573,0.3260928
-0.03594745,0.1231739,0.24533479,0.02184643
0.04970695,0.02278374,0.021167185,-0.025583694
-0.044801842,0.007662855,0.04701814,-0.0025024249
-0.10940057,-0.07593048,-0.12425955,-0.038365245
-0.08527639,-0.19388138,-0.042734727,-0.21464509
0.113581106,0.038191497,0.2301524,0.1577194
0.03400405,0.0620973,-0.06590865,0.05935227
-0.00011403315,-0.17901467,-0.028911315,0.010638932
0.089295134,-0.17762919,-0.17252964,0.05949897
0.22422491,0.12445636,-0.017357688,0.13504536
-0.074836284,0.1747669,0.11416935,-0.059074085
0.07665712,-0.003304101,0.014153003,-0.03158834
0.08300342,-0.012094074,-0.0124652535,0.080675535
-0.041624762,0.00506449,0.086136356,-0.048388366
0.07547623,0.20680408,0.16688944,0.109957024
-0.04242936,0.0028990721,-0.20320702,-0.030571543
-0.40695348,-0.09185427,0.08188867,-0.06061344
-0.064018115,-0.10233823,-0.033479474,-0.06190846
0.12161433,-0.058112424,0.003254631,0.11888164
0.09713742,0.0980803,0.015554961,0.1292077
-0.044089157,-0.025887625,0.14149334,-0.039440326
-0.17090051,-0.11407021,0.063027695,-0.117526285
-0.007396627,0.11360804,0.02841044,-0.00057223503
-0.0053785564,0.01777525,-0.087598816,0.020516902
-0.014545319,0.18386085,0.061619956,0.029793162
-0.0013513356,-0.0069045923,0.021685401,-0.028472492
-0.16606353,-0.0865383,0.011107831,-0.35058594
0.041761346,0.03165524,-0.31939325,0.05170792
0.3401732,0.12097888,-0.11293421,0.1839954
0.100846276,0.018386927,-0.01783924,-0.0074803615
-0.10584996,-0.03360504,0.07469273,0.029360743
-0.11781164,0.05185754,0.014856067,0.024866192
-0.13085124,0.053582825,0.022492345,-0.038099896
-0.062051103,0.10660045,0.036050048,-0.10064772
-0.44914678,-0.15449941,0.16675353,-0.10732998
